,lat,lon,Date_Mid_Greenup_Phase_1_aot40_r
912,50.04613113,14.33141327,0.0758328672109197
612,24.6947,108.0497,0.0766178835619497
692,47.660056,9.485675,0.0767084790477996
1150,51.799722,16.3175,0.080000351486936
382,39.9295,116.3392,0.0834828761336464
492,26.3108,117.7275,0.0864714003394601
859,43.305286,5.394716,0.0873954168866059
1199,43.650722,25.363583,0.0893719382386228
893,45.7789,4.9247,0.0895850894579201
782,42.157856,11.908954,0.0906097733994147
1217,53.24696,10.4565,0.0910298875374205
750,43.2757,-5.596,0.0926246675828906
1053,50.125332,8.746343,0.0929926251410563
1048,43.5589,-5.9275,0.0937734400588549
481,27.8403,112.9118,0.0939946721844843
576,38.4842,106.2757,0.0940057759675709
659,36.0855,111.5018,0.0947110966437103
1342,29.583048,-95.01554,0.0947998027979637
1011,43.91611,11.00694,0.0963805505333033
1028,44.39703,8.20604,0.0977908446605112
716,49.94498825,17.90953064,0.0979422002271895
263,46.5656,131.12,0.0982634619441252
887,52.039023,4.359376,0.0988949996782667
150,33.5699,114.051,0.0997825627082482
417,28.2475,117.0311,0.0997912632369476
216,41.7325,125.9446,0.100183874909174
308,30.6217,114.3646,0.1005080314220414
936,50.85780611,4.288706017,0.1005964097489775
919,48.376576,10.88837,0.1009992712879307
67,40.7094,122.2703,0.1035068400022947
559,29.7046,115.9584,0.1038450069402381
70,40.0625,124.3303,0.1045044020518753
1138,52.401352,13.059945,0.1056960870674313
923,51.054558,12.141322,0.1058422632034331
1394,33.553055,-86.815,0.1062786816765421
988,47.34414,0.653778,0.1078611291187988
510,26.9056,112.5664,0.1080157880983301
1051,46.2311,6.07417,0.1103238167887902
478,27.72,106.9178,0.1117421953893012
1196,44.938125,26.044994,0.1132851087125747
352,32.1875,119.6707,0.1142865583978299
1193,42.39197569,2.842138412,0.1151350395966416
402,29.4906,106.6349,0.1153237683906777
861,46.765425,23.550258,0.1166728781494225
361,32.4625,119.9189,0.1190302663926293
674,50.007629,18.455548,0.1194647403787213
106,37.8731,113.4894,0.1213523338388661
446,27.6434,113.8385,0.1214395549502098
99,40.0844,113.2711,0.124049058782492
1398,27.939747,-82.000084,0.1246686353354444
1212,42.36417,13.38306,0.1246802027207443
509,27.3125,105.2864,0.1248412146623373
885,51.407365,5.393328,0.1273073516930375
1188,53.59617,8.09059,0.1283612720239145
140,30.2019,114.8988,0.1292025453572403
600,26.5917,104.83,0.1297519746757
643,37.4442,118.5857,0.1304305076182546
1378,42.474644,-70.97082,0.1308492967617381
1358,40.24699,-76.846985,0.1318110546020937
1243,35.438557,-81.27675,0.1320840987241717
1127,45.5966,7.76643,0.1327287842372657
979,51.396095,12.234054,0.1331143133844823
1019,52.437165,-1.829999,0.1353190921190039
780,46.58967,11.43317,0.1354610610501786
241,32.9427,117.3605,0.1355402591465898
1082,50.16443,9.399441,0.1373464783000333
1372,46.81826,-92.08936,0.1374377170954005
1098,51.15013609,3.80873543,0.1385768557754431
1122,43.867496,18.423061,0.1410339826695958
290,37.9854,112.549,0.1416996396789711
1261,35.63348,-83.941605,0.1438406399757212
1246,33.342224,-81.788734,0.1454884021858319
342,32.1065,118.8086,0.1466126408513379
1182,51.839382,10.790143,0.1486588400776336
642,24.7733,113.5824,0.1490244678315636
198,32.6939,109.0281,0.1513590152086799
1320,40.136337,-111.6605,0.1514380027331156
544,39.7443,98.5061,0.1518855063070532
1454,39.96528,-76.69945,0.1530069742010783
287,33.9592,118.2442,0.1530448560256847
733,48.051117,7.011114,0.153437882609453
117,36.4372,115.9848,0.1538177532597764
1129,51.49633,-0.460861,0.1549415694678857
851,43.126475,25.691211,0.1566379484713606
1123,45.714444,11.368611,0.1569960881975908
678,50.836389,19.130111,0.1578527112259889
1209,50.912475,15.31219,0.1581576411782946
13,46.6215,124.9042,0.1595437710777316
1088,42.05134069,0.729555647,0.1601001976334416
513,25.0992,104.8811,0.1601339733355397
1397,33.331112,-87.00361,0.1603941235925698
458,31.381,120.999,0.1606105346338612
1151,51.939783,15.518861,0.1609619684580469
1078,41.03028,21.33667,0.1616708552269338
28,34.6886,112.494,0.1658469085586562
1289,35.379166,-82.7925,0.1660971080524454
503,26.2331,111.6236,0.1661127187895307
443,49.2261,119.7594,0.1662735003316974
1236,42.44,-2.239,0.1664448093223572
1094,55.46333313,26.00416946,0.1669903422768505
866,50.979455,11.037924,0.1688121478930822
1080,50.970024,9.80026,0.1688909300011054
1356,39.96111,-77.475555,0.1694161286261329
1272,40.084515,-82.81558,0.1708680212115363
1253,48.41252,-92.82922,0.17176709262273
331,31.5475,120.354,0.17342938434417
504,26.4364,111.5992,0.1738299622043042
1361,41.44278,-75.623055,0.1752243628966311
895,47.64892,-2.76399,0.1765956940025879
261,46.6191,131.1652,0.1766258241687103
327,31.1907,121.703,0.1769314473452093
1341,29.625557,-95.26722,0.1771431122225734
56,31.1208,104.4239,0.1808525527116492
535,28.19,112.9394,0.1810913589269074
62,30.7236,103.9728,0.1813094515978241
239,46.6365,126.9785,0.1814906654111846
1190,49.784339,22.756239,0.1833202947987201
987,49.052284,8.253538,0.1833514863012578
781,48.167961,17.106244,0.1837199476894167
1283,35.9359,-81.5306,0.1845831381567446
0,39.8784,116.3621,0.1873196139780891
73,40.1092,124.3633,0.1879137219250044
1056,43.1788,-6.5527,0.1889752617286746
34,34.3622,107.2386,0.1907041286604111
1238,40.6646,-3.7739,0.1918375576661846
1030,50.5976,-3.71651,0.1939640527209255
1005,44.7037,8.0333,0.1956183753493198
804,48.124711,17.125496,0.197482144020109
832,48.53111111,14.57472222,0.1980442256843717
1340,29.723333,-95.63583,0.1993330687374869
110,42.2728,118.9576,0.1994699378736414
295,40.762,114.8902,0.1995763489747404
539,28.3169,109.7325,0.200835050011519
347,32.0745,118.7794,0.2009160446849724
170,35.5461,106.6692,0.2015600852486814
867,51.207944,10.450997,0.2017221747443238
1310,45.2384,-86.994,0.2031448202494055
259,47.3388,130.3114,0.2032383480486916
518,29.5844,103.7627,0.2036142022463856
978,44.865555,-0.939444,0.2039365433764168
660,36.1851,120.3905,0.2045046494113739
1280,41.420883,-82.095726,0.2053936408763894
890,47.2225,-1.5375,0.2084127356932001
1407,41.965195,-87.87627,0.2093663873702751
1317,42.060284,-87.86323,0.2110411538792147
597,25.0441,101.5482,0.2114371944319129
1022,50.775482,3.12568,0.2126771394709067
693,43.30277777,-1.98444444,0.2134711833811301
91,38.4975,106.2328,0.2139822260596774
497,28.2597,112.9792,0.2142595749575819
390,39.9136,116.184,0.214717986239909
60,41.0971,122.9642,0.2154745655984868
1001,47.73344,12.891241,0.2164803016852287
616,38.0378,114.5481,0.2165622575369001
922,47.649258,26.249011,0.2173548732717153
20,41.8611,124.0436,0.217636961728799
1015,48.17278,6.452811,0.2180103301755337
1304,34.474525,-85.408844,0.2206516188179186
