,lat,lon,EVI2_Onset_Greenness_Maximum_1_temp_r
211,41.5881,120.4318,-0.2770498843422435
197,38.2839,109.7289,-0.2765147506760353
928,51.5645,14.3764,-0.2764302519192225
349,45.7258,126.6411,-0.2761303717570401
1276,38.81194,-76.74417,-0.2757345718183948
15,43.8245,126.5052,-0.2756700108179364
1250,44.18089,-85.73898,-0.2751570322248914
373,43.79,125.4605,-0.2746392751167582
789,45.0249,7.6491,-0.2740701427043137
891,42.516944,1.56525,-0.272322181330988
1305,46.0519,-89.654,-0.2722432891797945
1438,35.206112,-111.65278,-0.2717311211853261
1024,47.054443,-0.886111,-0.271631742138566
964,49.300731,8.700103,-0.2711001523873235
586,35.7668,115.0,-0.2702628075024831
1367,41.3014,-72.90287,-0.2692762288791004
299,34.80246,113.67526,-0.2690981324804605
1078,41.03028,21.33667,-0.2679576921075614
740,45.474156,28.034406,-0.2677051314646387
268,30.6764,104.1419,-0.2667133076236306
493,31.9037,102.224,-0.2657697504200605
704,45.569,8.1876,-0.2641209555691835
453,26.567,101.7227,-0.2639865438194755
631,27.8614,112.9433,-0.2629467978347138
534,28.2053,113.0792,-0.2619656599075843
937,57.8634,11.9216,-0.2618039207745624
520,30.1506,104.6356,-0.2603600279089851
756,43.16832,-2.63794,-0.2598802920586902
1188,53.59617,8.09059,-0.2595362459003994
679,48.899233,9.172792,-0.2587534986039519
1376,42.099697,-71.6194,-0.2566312301811209
209,42.3022,123.8139,-0.256159487071429
1396,34.015434,-84.60742,-0.2549381870785276
1217,53.24696,10.4565,-0.2545240915450008
1360,40.107224,-74.882225,-0.2535754502849495
37,41.7166,86.1972,-0.2528047047934332
1296,43.4351,-89.67979,-0.2516022247558738
1283,35.9359,-81.5306,-0.2512483380372847
1141,49.672507,9.001981,-0.2510744607989633
