,lat,lon,Date_Mid_Greenup_Phase_1_temp_r
1256,39.48599,-87.40131,-0.5603137477116896
1000,48.021657,12.538174,-0.5602878809853262
1112,44.92467,10.5172,-0.5581005332706569
411,31.2071,121.577,-0.5577062909479985
1114,51.45258,0.070766,-0.5573362327643809
1020,45.560556,11.539722,-0.5562919723046414
803,48.16206944,16.52561389,-0.5526568186940065
1091,46.708333,14.891667,-0.552604765950804
1130,51.47707,0.317969,-0.551672358829606
1211,42.736572,11.87643,-0.5511101393518774
483,38.5167,102.1692,-0.5510510938705127
311,36.6868,117.0624,-0.5504183955597797
504,26.4364,111.5992,-0.5485504322083556
712,52.029194,23.149389,-0.5472841145047295
1394,33.553055,-86.815,-0.5470723236585311
1007,48.9964,1.7033,-0.5466222479566163
1332,35.9138,-81.191,-0.5458219123071056
821,45.1758,7.5602,-0.5442442689287745
774,47.40555556,15.36083333,-0.5430817207955506
355,41.8467,123.4264,-0.542180708824195
997,55.862281,-3.205782,-0.5398655245497888
499,34.77172,113.73961,-0.5393424190894951
698,49.77012634,13.36822128,-0.5391568552288581
254,45.1722,124.7965,-0.5390936143045028
377,43.9027,125.2863,-0.5384256425244858
118,37.3803,118.0062,-0.5381343636996383
1267,35.85611,-78.574165,-0.5381130988515072
1295,41.6175,-87.199165,-0.5376968787670974
979,51.396095,12.234054,-0.5376104508900584
220,35.4936,112.8318,-0.5356095508750037
543,29.315,110.4417,-0.5353603799832771
857,47.430833,19.184175,-0.5319697385980228
1305,46.0519,-89.654,-0.5317596929233789
807,47.410164,9.653713,-0.5305650581037556
1182,51.839382,10.790143,-0.5303912836393139
1259,29.767998,-95.22058,-0.5292022519609098
1307,43.7775,-91.2269,-0.5291199952731236
1336,40.82799,-73.05754,-0.5274524331714457
841,47.557222,18.420836,-0.5257472911877692
832,48.53111111,14.57472222,-0.5251272575858388
329,31.3008,121.467,-0.5249507164788654
1361,41.44278,-75.623055,-0.5238591632758923
536,23.4835,111.2711,-0.5223093167305995
323,33.575,119.007,-0.5222871825640476
921,48.773072,8.220214,-0.521725184239449
501,26.2081,111.6217,-0.5215790628836333
1355,39.80933,-80.26567,-0.5204911060703228
275,38.2991,116.8842,-0.5199459771788022
849,47.676111,17.649736,-0.5197338642637293
42,34.6258,112.4267,-0.5191151735270556
1039,50.766815,7.973542,-0.5188023660994077
54,31.4535,104.7563,-0.5187629251639938
1081,51.90158,10.48132,-0.5186844940223178
976,45.56472,5.928333,-0.5176984831610771
120,36.8103,118.0414,-0.5157924795366886
1431,40.73614,-73.82153,-0.5139373868918106
1116,51.34879529,4.339709947,-0.5135959317723021
1022,50.775482,3.12568,-0.5134991086553422
1095,47.86194444,15.32194444,-0.5131928248009322
1162,45.96141,4.465711,-0.5124934772041645
941,47.04027778,14.330725,-0.5115525645806239
955,47.4067,9.39438,-0.5105646571517994
123,34.5578,117.7276,-0.5099025204395055
1094,55.46333313,26.00416946,-0.5090888133231831
17,41.0821,123.022,-0.5079661409924208
1165,43.0819,-1.9127,-0.5076463556174974
