,lat,lon,Date_Mid_Senescence_Phase_1_aot40_r
123,34.5578,117.7276,-0.4007949027419782
756,43.16832,-2.63794,-0.3995475457553731
1069,52.398406,13.368103,-0.3985942945334866
927,54.88361,-1.406878,-0.3984046711116457
1435,41.49212,-81.67845,-0.3976259124849718
953,45.69802778,18.83463889,-0.3949355427247523
985,49.351124,8.423,-0.3949222267780111
162,35.7306,114.2878,-0.3946056007326957
1098,51.15013609,3.80873543,-0.3938667799614391
114,37.4674,116.3032,-0.3926083208986227
205,41.998,121.6094,-0.3922522214191486
801,45.463333,10.480833,-0.3907892763167602
599,32.3153,118.3093,-0.3902713686663763
241,32.9427,117.3605,-0.3900396101849247
93,34.9976,118.2794,-0.3897266848659828
165,35.7609,115.0574,-0.387354764158454
895,47.64892,-2.76399,-0.3865549253891945
188,30.5232,105.5582,-0.3865536904545356
486,45.6094,84.895,-0.3864157878978851
381,39.8863,116.4072,-0.3861064090216493
545,36.0621,114.4839,-0.3856802934317794
947,48.33472,16.729445,-0.3852778839100335
1109,54.334944,-0.80855,-0.3850295581924722
1226,46.586918,0.358583,-0.3832095190228965
648,28.3611,112.9581,-0.3831236441708813
574,38.497,106.1015,-0.3830285752688454
611,36.5482,104.1465,-0.3814301339774044
4,47.3386,123.9488,-0.3810826723636105
462,31.955,119.18,-0.3806607558557968
1017,53.187222,-6.121667,-0.3799391566526984
490,36.864,118.78,-0.3795561034922361
692,47.660056,9.485675,-0.3787905691069213
1186,44.564972,27.366081,-0.3776790922458519
379,30.6319,114.135,-0.3770300104760357
1010,53.56292,-1.510436,-0.3759738390558362
60,41.0971,122.9642,-0.3750547354297723
1002,53.37287,-3.022722,-0.3730718358190748
892,44.926111,10.370833,-0.3692457231681147
1033,45.038333,9.669167,-0.3690524678993966
1363,35.96497,-84.22317,-0.368616300348053
634,36.6428,101.748,-0.3681092401215048
140,30.2019,114.8988,-0.366593674476714
606,27.3033,111.5239,-0.3642598106751939
191,31.8896,102.2502,-0.3639938725896725
416,28.2264,117.0222,-0.3637738306885755
849,47.676111,17.649736,-0.3634324658230876
