,lat,lon,EVI2_Growing_Season_Area_1_aot40_r
1452,40.27813,-105.54564,-0.7902129044783854
1437,29.823318,-94.98379,-0.7898096255515116
544,39.7443,98.5061,-0.785017517937617
1334,43.05235,-76.05921,-0.7844573262767651
907,49.40159607,15.6102457,-0.7830362334155598
837,44.73473,9.36693,-0.7818525468818015
293,37.7394,112.5583,-0.7784153319979972
1379,32.50996,-92.046196,-0.7783949976314718
504,26.4364,111.5992,-0.7773649785419683
384,40.135,116.6636,-0.7771872284060055
1173,50.900317,5.986853,-0.7762364478025655
1064,56.2904,8.4274,-0.7745920467834048
1411,34.623238,-82.53206,-0.773637141380809
308,30.6217,114.3646,-0.7723022968143501
1059,48.18169,11.46445,-0.7711822390648231
383,39.9611,116.2878,-0.7701495695008519
501,26.2081,111.6217,-0.7700073749149574
956,44.9513,7.6362,-0.7687490735459563
1095,47.86194444,15.32194444,-0.7684825203418718
72,40.1461,124.3933,-0.7672574490119846
1081,51.90158,10.48132,-0.7662045602495512
32,34.3672,107.1906,-0.7661914537617469
1189,46.1625,12.360833,-0.7626233966487551
1445,35.988277,-77.5843,-0.7624093298965565
241,32.9427,117.3605,-0.7620785101260077
586,35.7668,115.0,-0.7619612945614023
1035,41.554167,14.674722,-0.7616948672994673
438,27.8336,113.251,-0.7607239571247726
1182,51.839382,10.790143,-0.759416031120247
142,32.395,111.0419,-0.7586848795220784
599,32.3153,118.3093,-0.7578533745543475
1034,43.66028,11.90167,-0.7577743710618864
200,30.6145,116.9896,-0.7570574085898377
284,33.5039,119.135,-0.7561145424599711
1176,44.825,11.649722,-0.7521094171680814
582,29.5462,103.7723,-0.7517899300727968
466,31.4,119.46,-0.7516449092050869
761,47.751475,23.605325,-0.751386147622034
433,32.0931,118.6414,-0.7490472193359232
836,44.79361,10.33167,-0.748837665434384
908,49.73508453,16.03419685,-0.7486705442114401
319,38.9108,115.4713,-0.7437526374113617
779,45.93766834,13.91156335,-0.7412193895367801
392,39.0343,117.707,-0.7410490343278672
503,26.2331,111.6236,-0.7405436602331394
558,29.7535,116.0721,-0.7399045887118272
1115,59.316007,18.057807,-0.7395712283535115
605,27.2442,111.5283,-0.7391190506507411
1212,42.36417,13.38306,-0.7366785002802719
1011,43.91611,11.00694,-0.7359154304249963
400,27.0999,114.9658,-0.7334991421449066
660,36.1851,120.3905,-0.7316590584636105
396,39.6506,118.1705,-0.7297657864356935
1121,50.85205095,4.347777506,-0.7294288474747087
939,46.23451421,15.262476,-0.7294287028488406
206,42.0224,121.6717,-0.7276379391530887
140,30.2019,114.8988,-0.7273732047180327
809,45.83611,8.80417,-0.7273507745481536
1210,47.068717,21.927233,-0.7269020084779798
100,36.1989,113.1031,-0.7258477602873371
942,45.55879167,18.69876944,-0.7257007271283916
12,46.586,125.153,-0.7255304867785998
733,48.051117,7.011114,-0.7239926688373886
13,46.6215,124.9042,-0.7218937700643198
1080,50.970024,9.80026,-0.7213484844688793
467,29.334,120.04,-0.721276261021825
850,42.637192,23.243864,-0.7197561140529724
434,29.4758,113.2621,-0.7180239528162506
575,30.4576,106.6303,-0.7149647469089812
297,36.3083,120.3999,-0.7130353399289412
864,42.90056,13.33667,-0.7113574575494006
316,31.7964,117.3027,-0.7099118713648042
1456,31.954287,-84.08101,-0.7084867378195053
442,36.7729,119.1936,-0.7078519369617007
559,29.7046,115.9584,-0.7073134404565039
1332,35.9138,-81.191,-0.7069801601460483
628,34.5023,109.4259,-0.7061778357416525
