,lat,lon,Date_Mid_Greenup_Phase_1_o3_r
1106,50.84971052,4.33410368,-0.3020019905060122
1016,42.42212,12.109196,-0.3016710237594923
1289,35.379166,-82.7925,-0.3014025706142942
1255,38.013332,-87.577225,-0.2997229335201339
1366,42.86183,-71.878624,-0.2996594310589349
327,31.1907,121.703,-0.297737637740287
259,47.3388,130.3114,-0.2975093321642469
954,67.878588,21.062962,-0.2974753943341151
1188,53.59617,8.09059,-0.2960359000997705
807,47.410164,9.653713,-0.295961565458137
1290,35.587143,-83.07416,-0.2927001706452105
707,43.230297,0.062339,-0.2918439471859344
197,38.2839,109.7289,-0.291050690250274
1186,44.564972,27.366081,-0.2908618347419139
273,37.7541,115.6838,-0.2897564432152412
169,37.9251,102.6201,-0.2895731168739848
376,43.8463,125.2841,-0.2891575331924946
1301,34.785217,-84.62643,-0.2890913091678341
308,30.6217,114.3646,-0.2878448939688574
689,43.25055555,-2.155,-0.2856896142248236
1278,41.24045,-80.66272,-0.2854739539035859
530,31.2827,107.5277,-0.2853013173746008
426,37.3753,97.3731,-0.2851793088484953
1111,47.47706,11.05722,-0.2851646425707766
1214,45.297325,27.949461,-0.2819740391782261
1350,42.51831,-89.06347,-0.2807997659349308
0,39.8784,116.3621,-0.2784489202521083
1425,40.304695,-79.50567,-0.2770216237592797
1232,49.15167,-0.352778,-0.2768448034366728
906,46.08253,10.95804,-0.2743436610106377
1393,33.578335,-86.77389,-0.273624534105333
749,43.313,-7.6937,-0.2729703302079846
461,32.6524,117.0067,-0.2727942617298015
475,29.3867,117.3102,-0.2698100426921523
367,45.7733,126.689,-0.2694282386307069
948,46.6775,12.972,-0.2692265040087337
1367,41.3014,-72.90287,-0.2687258074438206
714,53.134088,17.995712,-0.2686293826327316
500,30.2798,109.4707,-0.2655369107307935
524,29.9833,103.0111,-0.2649596145803357
369,45.8167,126.561,-0.2633133740612881
1265,35.233475,-85.18158,-0.2618916279104851
175,42.8328,93.4961,-0.2614024200789424
159,30.6618,117.47,-0.2609837155210674
386,40.217,116.2296,-0.2608950666168972
1203,40.71099,14.70244,-0.2600957792095634
958,47.0495,6.97915,-0.259822726277128
393,39.0927,117.202,-0.2580549118951735
238,50.2472,127.5291,-0.2565214186772945
1065,48.947611,13.420573,-0.2560757023680919
418,28.2642,117.0564,-0.254673802686151
1155,43.26444,-4.06278,-0.2542591744055662
600,26.5917,104.83,-0.2532754527819761
802,49.119442,6.180833,-0.2532316322365995
711,49.04781723,18.00782776,-0.2531057779159728
304,36.6116,114.5302,-0.2527619864188593
1364,36.060894,-86.28629,-0.2517915256893362
661,35.4828,112.8271,-0.2515197545869339
1007,48.9964,1.7033,-0.2502207575631791
243,32.9673,117.3533,-0.2474807525795606
1407,41.965195,-87.87627,-0.2460122296130596
1073,48.507703,9.051178,-0.2455539073922809
890,47.2225,-1.5375,-0.2442859715345591
506,27.7344,109.1839,-0.2440420606242989
375,43.8772,125.3716,-0.2439204772610461
336,31.2472,120.561,-0.2429418392491789
1075,44.319639,28.610292,-0.2427068601700633
857,47.430833,19.184175,-0.2417945298901262
805,46.05184,11.45389,-0.2373641585422684
796,48.1061111,15.91944444,-0.2353096744826673
656,36.0822,111.5169,-0.234513456169831
368,45.5419,126.979,-0.2334703583158295
109,42.2816,118.9233,-0.2330258812434621
459,31.656,120.734,-0.2320774180249608
1302,37.1655,-78.3069,-0.2307833253166717
783,41.669172,13.674326,-0.2294585311685052
445,27.6253,113.8493,-0.2292451129832684
1442,32.52127,-84.94463,-0.2290254794055938
824,44.5,11.286111,-0.2275669921243617
50,34.7752,111.1922,-0.2273728250618104
852,42.432356,25.637389,-0.2272363714437869
566,28.0089,120.634,-0.2266625566659518
901,48.68817,6.190431,-0.2259281916570975
1453,32.41281,-86.2634,-0.2250108341903219
795,48.2702,16.2972,-0.2247599897752292
1212,42.36417,13.38306,-0.2243243449013009
216,41.7325,125.9446,-0.2222994680499808
900,66.3217,29.40157,-0.2216892262569279
1319,39.866833,-88.92559,-0.2208356722193088
394,39.1661,117.1444,-0.2207800645602137
198,32.6939,109.0281,-0.2204024622127318
183,31.7275,113.3583,-0.2190085253868971
1451,33.9828,-111.79871,-0.2175703762191425
45,34.7781,114.3389,-0.2168333415979886
606,27.3033,111.5239,-0.2163418191673194
827,45.193889,9.164722,-0.2117493615954563
1361,41.44278,-75.623055,-0.2113584295942933
750,43.2757,-5.596,-0.2106174868494103
249,30.97,117.8483,-0.2078908681500562
1162,45.96141,4.465711,-0.2075213835931774
1140,50.68352509,14.04119492,-0.2065358809796798
532,27.725,111.9975,-0.2053310313618448
174,42.8172,93.5128,-0.2046272716485091
548,28.9666,118.8709,-0.2043537311049481
887,52.039023,4.359376,-0.2038311305794026
1211,42.736572,11.87643,-0.2033975721954487
1128,45.371944,11.841944,-0.2019178574173264
439,29.1217,110.5319,-0.2017247526015626
1184,51.525955,6.97688,-0.2001138128159185
875,40.641111,-8.100556,-0.2000470345862275
1355,39.80933,-80.26567,-0.2000237130793496
1277,39.42689,-84.20077,-0.1999985813160538
472,35.176,113.2467,-0.1988469813002024
1102,50.010325,8.451527,-0.1987932170605472
54,31.4535,104.7563,-0.1984240432514679
1081,51.90158,10.48132,-0.1983510177398223
755,51.259431,22.569133,-0.1981297616591487
708,43.09625,-0.040497,-0.1969745607836647
1097,51.05833172,3.729298172,-0.1956262889981213
1022,50.775482,3.12568,-0.1953925103179678
963,49.462229,11.0248,-0.1934076500312709
619,30.9413,117.7807,-0.1923403758529164
953,45.69802778,18.83463889,-0.1919324072639207
1047,51.862042,6.874469,-0.1918888493324058
1189,46.1625,12.360833,-0.1917326414551772
299,34.80246,113.67526,-0.1903426369675513
1381,38.548138,-82.73116,-0.1901484519917803
4,47.3386,123.9488,-0.1882167708789541
239,46.6365,126.9785,-0.1868747960961259
312,31.3019,120.591,-0.1848470329293014
1330,40.92458,-75.06782,-0.1841238858401384
706,42.09791019,1.848237224,-0.1839638955606137
1183,51.303394,6.819887,-0.1836359500292858
756,43.16832,-2.63794,-0.1825713214575637
1118,50.65844442,5.627835291,-0.1814365398747435
542,27.7569,111.9561,-0.1812512975917662
135,32.9692,112.548,-0.1765452177637984
732,45.9225,6.87,-0.1760189323131188
487,46.098,85.6979,-0.1750572804634681
1156,43.40444,-3.84194,-0.1744438407165884
319,38.9108,115.4713,-0.1729423677571803
771,43.3583,-5.8664,-0.1709435331860016
876,44.99694,11.07083,-0.1682846108030552
988,47.34414,0.653778,-0.1668291520043302
551,33.015,114.0114,-0.1652205740722598
136,34.4045,115.6458,-0.1649374036081855
514,28.6842,115.9314,-0.1639718030619097
59,30.8023,106.0789,-0.1639490565653072
256,45.3001,130.9762,-0.1603575928575126
1274,41.53694,-81.45887,-0.160126606022259
1223,47.0677,8.30068,-0.1596175517026797
1165,43.0819,-1.9127,-0.1588477124807636
181,34.5538,105.8945,-0.1580496433584574
567,26.0746,119.317,-0.1579065596837876
534,28.2053,113.0792,-0.157674187741261
1077,43.21291,-3.1344,-0.1575498623109456
53,30.3544,112.2008,-0.1571007024806917
234,42.8845,125.1358,-0.1554602038622093
929,51.897598,14.057064,-0.1536136217262757
287,33.9592,118.2442,-0.1520575971556756
1234,50.44914,2.9,-0.1510909861401624
970,51.698954,7.122684,-0.1500770444776795
435,29.355,113.2117,-0.1495942874410487
803,48.16206944,16.52561389,-0.1484478411412373
1089,48.12027778,14.878333,-0.147758613052615
703,50.02403641,15.76354885,-0.1474360626990311
1429,40.689255,-122.40219,-0.1450611488437899
643,37.4442,118.5857,-0.1440064023667977
1096,51.838221,5.856938,-0.1435231902048143
1345,41.97639,-72.388054,-0.1434538148819044
1020,45.560556,11.539722,-0.1420966573685248
766,45.848333,11.569167,-0.141544201193483
412,25.8333,114.9322,-0.1406272920265302
921,48.773072,8.220214,-0.1382183018928773
713,53.028647,18.666103,-0.1370688389612887
1028,44.39703,8.20604,-0.1337763449002338
37,41.7166,86.1972,-0.1337231178571101
702,60.37288,11.07407,-0.1337005119444465
1250,44.18089,-85.73898,-0.1331954480179306
1362,41.265556,-75.84639,-0.132728365454997
1247,35.0608,-83.4306,-0.1308386130064187
1324,40.283092,-74.742615,-0.1291883858451532
939,46.23451421,15.262476,-0.1266352315997646
1014,50.32276,3.39593,-0.1263349273018215
825,48.04944444,14.44277778,-0.1252495259456926
34,34.3622,107.2386,-0.1237876411850648
899,40.540351,-3.645253,-0.1230595154947992
781,48.167961,17.106244,-0.1202689700530914
428,30.7819,111.3275,-0.1196538451463229
889,50.74823,2.25978,-0.1175337198850485
6,47.2988,123.945,-0.117504513592195
1023,47.44739,-0.550067,-0.1165312650398337
760,47.594257,1.302667,-0.1141029699142044
1296,43.4351,-89.67979,-0.1140588333825569
1060,46.564369,26.910667,-0.110875020120724
1101,42.056383,25.59345,-0.1098101963582363
879,41.53583,20.6989,-0.1092538227843163
1040,53.060045,8.916966,-0.108810562290185
1010,53.56292,-1.510436,-0.1075601321489353
1129,51.49633,-0.460861,-0.1067578692162663
436,28.9703,111.6975,-0.1031712946992367
1119,45.623056,13.7875,-0.1029594258658567
1182,51.839382,10.790143,-0.1018896798366072
247,30.9412,117.8177,-0.1018479875710386
278,39.5111,116.6708,-0.1012248180737435
211,41.5881,120.4318,-0.1010528143264632
1099,57.810833,15.564736,-0.0990839050178633
1344,41.84046,-72.01037,-0.0973897355809583
871,54.436985,12.721938,-0.0972001274839752
1157,47.594913,7.568175,-0.0962160416989689
194,33.0706,107.0154,-0.0943378107159533
774,47.40555556,15.36083333,-0.0940588393150866
262,46.6554,131.1524,-0.0939404429991452
403,27.1312,114.99,-0.0935064805183382
610,30.8955,120.0875,-0.0929714754787841
119,37.393,117.9776,-0.0928170208594586
633,36.5819,101.834,-0.0920500205670711
145,32.0564,112.1392,-0.0904119146327215
395,39.1082,117.237,-0.0900833260055036
778,45.54301186,13.71352366,-0.0891486034784924
935,50.88369465,4.382977505,-0.0880507223542936
859,43.305286,5.394716,-0.0855416146511989
1337,38.20087,-77.37742,-0.0840029524408123
143,32.6494,110.78,-0.0812293739368984
631,27.8614,112.9433,-0.0792820197037283
1437,29.823318,-94.98379,-0.0772507967043418
1423,35.43477,-83.44213,-0.0770777740488977
1377,43.97462,-70.12461,-0.0765088476875857
486,45.6094,84.895,-0.0755697737117678
1454,39.96528,-76.69945,-0.0745803557511845
1037,49.83918762,18.26368904,-0.0728543355759721
557,32.6389,110.7258,-0.0726830189468155
1030,50.5976,-3.71651,-0.0718670102484926
1166,41.04,21.3564,-0.0718038949678333
1026,43.623608,1.438531,-0.0715309995448733
1039,50.766815,7.973542,-0.0711397890060966
1134,45.736694,21.250808,-0.0709664389046083
1197,44.429489,24.351389,-0.0703433474414813
11,46.408,124.902,-0.0695587554537319
342,32.1065,118.8086,-0.0683972229860471
124,35.4209,119.471,-0.0676937609995319
1282,35.500103,-82.59986,-0.0672022626127229
1455,38.23887,-82.9881,-0.0671320453612908
1053,50.125332,8.746343,-0.0670987717386764
492,26.3108,117.7275,-0.0663545401236939
1217,53.24696,10.4565,-0.0652583580962954
744,43.34639,-4.06417,-0.0651802574708453
623,33.5828,114.0138,-0.0649636881681323
91,38.4975,106.2328,-0.0645976402336258
1059,48.18169,11.46445,-0.064324075513695
1042,53.924712,9.532635,-0.0600526453257763
1160,42.36831811,1.776783258,-0.0598487249297944
810,47.4885583,12.066633,-0.0587400166268861
271,37.0851,114.5237,-0.0586620178654261
164,35.7636,115.0312,-0.0573696363655809
844,64.244226,19.767238,-0.0571416359244371
377,43.9027,125.2863,-0.055301168641204
347,32.0745,118.7794,-0.0551336174756441
99,40.0844,113.2711,-0.0519242901403905
1017,53.187222,-6.121667,-0.0512450520294968
604,25.8481,114.9461,-0.0508792576623624
1044,53.064262,14.285139,-0.0493972316839977
184,30.1256,104.6296,-0.0485672160894161
784,55.072222,24.283894,-0.0473729452639182
186,30.2981,109.4978,-0.0471444795850899
504,26.4364,111.5992,-0.0468717759749516
467,29.334,120.04,-0.0434580693846191
98,40.0917,113.3444,-0.0421731213984907
1273,39.70595,-79.012,-0.0416607751248069
489,36.881,118.746,-0.0416177003716605
897,60.22393,25.10244,-0.0411850942361805
